Scene id,Score
0,1
1,0.66
2,0.66
3,0.66
4,0.66
5,0.66
6,0.66
7,1
8,1
9,0.66
10,0.66
11,1
12,1
13,1
14,1
15,0.66
16,1
17,1
18,0.66
19,0.66
20,1
21,0.66
22,0.66
23,0.33
24,0.66
25,1
26,0.66
27,1
28,0.66
29,1
