Scene id, Score
0,1
1,0.75
2,1
3,0.75
4,1
5,1
6,0.75
7,1
8,0.75
9,1
10,1
11,0.75
12,0.75
13,0.75
14,0.5
15,1
16,1
17,0.75
18,0.75
19,1
20,1
21,0.75
22,0.5
23,1
24,0.75
25,0.75
26,0.75
27,0.75
28,0.25
29,1
