Scene id,Score
0,0.25
1,0.5
2,0.25
3,0.5
4,0.75
5,0.75
6,0.5
7,0.75
8,1
9,0.25
10,0.75
11,0.5
12,0.5
13,0.75
14,0.25
15,0.75
16,0.75
17,0.5
18,0.75
19,0.75
20,0.75
21,0.5
22,1
23,0.5
24,0.75
25,0.75
26,0.5
27,0.5
28,0.5
29,0.75
