Scene id,Score
0,0.75
1,0.5
2,0.5
3,1
4,0.5
5,0.5
6,0.75
7,0.75
8,0.75
9,0.75
10,0.75
11,0.75
12,0.75
13,0.5
14,0.75
15,0.75
16,0.5
17,0.75
18,0.5
19,0.5
20,1
21,0.5
22,0.75
23,1
24,0.5
25,0.5
26,0.75
27,0.75
28,0.75
29,0.5
