Scene id,Score
0,0.8
1,0.4
2,1
3,0.8
4,1
5,0.8
6,0.6
7,0.8
8,0.8
9,0.6
10,0.8
11,0.6
12,0.8
13,1
14,1
15,0.8
16,0.6
17,0.6
18,1
19,1
20,0.8
21,0.6
22,0.8
23,0.6
24,1
25,0.8
26,0.8
27,0.6
28,0.8
29,0.8
